Sample,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BGD,BGR,BMU,BRA,CAN,CHE,CHL,CHN,COL,CRI,CZE,DEU,DNK,DZA,EGY,ESP,EST,FIN,FRA,GBR,GHA,GRC,GTM,HKG,HRV,HUN,IDN,IND,IRL,ISL,ISR,ITA,JPN,KEN,KOR,LBN,LTU,LVA,MAR,MEX,MKD,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROM,RUS,SAU,SGP,SLV,SVK,SWE,THA,TUR,TWN,UKR,USA
ARG,0,29117500,0,0,0,0,0,0,0,0,23550000,0,75000,11060000,0,25000,0,0,0,0,0,0,25000,0,0,0,195000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710000
AUS,0,0,0,107565269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3137342,6500000,0,0,0,0,0,0,0,0,19740000,0,0,0,0,0,0,0,416222833
AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128660,0,0,0,0,800000,0,0,0,0,1801240,0,0,0
AZE,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,0,0,0,26000000,0,0,68790507,0,0,0,0,0,47200000,0,0,0,0,0,62500000,0,0,0,32442500,0,0,31510350,26365374,0,3900000,0,0,0,0,0,161200000,0,0,0,0,0,0,0,0,0,0,3200000,0,0,350000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66800000
BGR,0,0,64177,0,0,0,65665,0,3996856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618180,0,132173,0,0,64525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38484,0,0,0,0,0,0,0,0,0,0,76968,0,0,0,0,0,0,0,0,0,0,250963
BRA,0,1440000,0,0,0,0,0,0,0,0,40050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2750000
CAN,0,0,0,0,0,0,0,0,0,0,70000000,2356903665,0,0,0,0,0,0,190798947,0,0,0,0,0,0,15439200,19032336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,0,3000000,0,0,0,0,101650000,0,0,1077562189
CHE,0,0,0,0,25732000,0,0,0,0,0,0,0,130142635,0,0,0,0,0,155988700,10000000,0,0,0,2150000,260000000,89780200,180219911,0,0,0,0,0,0,0,0,94265400,0,35000000,1286600,0,0,0,0,0,0,0,0,0,0,0,39884600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,1383300266
CHL,0,6960000,0,40000,40000,0,40000,0,0,0,770000,1120000,0,5050000,40000,0,40000,0,80000,40000,200000,0,500000,80000,0,120000,320000,0,40000,0,40000,0,80000,0,280000,80000,0,0,120000,0,0,0,0,0,0,0,80000,0,0,0,80000,40000,80000,0,80000,0,0,40000,0,80000,0,40000,40000,0,0,0,0,0,0,9303000
