company_market,unicorns_amount_usd,all_amount_usd
E-Commerce,12705899834.0,35623375438.0
Advertising,10816500000.0,29665465568.0
Software,8568299999.0,68437590553.0
Storage,5441415000.0,6958441663.0
Clean Technology,4805000000.0,60279019392.0
Communities,4007700000.0,4345701630.0
File Sharing,3480685000.0,4097300320.0
Technology,3252826000.0,17032316124.0
Online Shopping,2912000000.0,3443214765.0
Curated Web,2796400000.0,14119347340.0
Enterprise Software,2591576443.0,31701792121.0
Design,2585625000.0,3512398264.0
Games,1686400000.0,17995945494.0
Cloud Computing,1628900000.0,3722247706.0
Shopping,1556000000.0,2598085139.0
Entertainment,1432759080.0,3193534174.0
Transportation,1313450000.0,2251766015.0
Security,1239120000.0,13210547345.0
Data Security,1143176000.0,1303170299.0
Peer-to-Peer,1108020000.0,2066869562.0
Mobile Payments,1075000000.0,1936890673.0
Search,939207611.0,5713780300.0
Fashion,854500000.0,5669660041.0
Facebook Applications,817500000.0,1003191149.0
Finance Technology,770960000.0,1000842698.0
Consumer Electronics,721000000.0,1588101907.0
Analytics,680086000.0,12737290240.0
Privacy,663000000.0,779947172.0
Mobile Games,648000000.0,1075817438.0
News,642000000.0,2616974256.0
Hardware + Software,640000000.0,22000727473.0
Retail,634000000.0,1082498975.0
Mobile,613700000.0,34514755317.0
Location Based Services,609050000.0,927213004.0
Biotechnology,590000044.0,1.2073194066e+11
Hospitality,573929900.0,2060008935.0
Finance,557800000.0,14630801163.0
Solar,544600000.0,5557111407.0
Personal Finance,504600000.0,629345510.0
Web Development,459000000.0,1329746740.0
Career Management,432000000.0,683130000.0
Home & Garden,412000000.0,521626286.0
Data Integration,409500000.0,633593770.0
Education,371500000.0,5623335821.0
Freelancers,321200000.0,336928000.0
Messaging,320694728.0,4155424601.0
Public Transportation,290870000.0,3130198843.0
Internet of Things,280600000.0,709875118.0
Web CMS,272400000.0,300020003.0
Social Media,263599700.0,5538614896.0
Travel,245000000.0,5782384124.0
Events,240800000.0,315327348.0
Insurance,240000000.0,438639450.0
SaaS,218500000.0,4955352903.0
Heathcare,200000000.0,2248814790.0
Financial Services,184137070.0,514217374.0
Virtualization,178972075.0,1091810000.0
Music,173319000.0,2894072300.0
Sports,133500000.0,714712852.0
Legal,132000000.0,713133410.0
Health Care,125000000.0,47721643619.0
Semantic Search,122000000.0,174878000.0
Collaboration,102000000.0,1055982036.0
Content Discovery,94000000.0,108000000.0
Real Estate,91700000.0,1852700582.0
Restaurants,90800000.0,626933263.0
Credit Cards,84000000.0,151000000.0
Point of Sale,76000000.0,164578696.0
Lead Management,74000000.0,166550000.0
Video Streaming,70000000.0,791246498.0
Social CRM,70000000.0,137618000.0
Fantasy Sports,61400000.0,61900000.0
PaaS,41500000.0,608202090.0
Customer Service,35000000.0,1330755719.0
Photography,20000000.0,3077515293.0
Health and Wellness,20000000.0,10895073076.0
Groceries,15400000.0,15400000.0
Small and Medium Businesses,12000000.0,92737400.0
Human Resources,8400000.0,1258719198.0
Networking,6250000.0,1660066175.0
Mobile Commerce,3591333.0,137457979.0
Beauty,2755795.0,152330199.0
None,100000.0,6776708796.0
