investor_country_code,company_country_code,raised_amount_usd
ARG,ARG,29117500.0
ARG,BRA,23550000.0
ARG,CHE,75000.0
ARG,CHL,11060000.0
ARG,COL,25000.0
ARG,ESP,25000.0
ARG,GBR,195000.0
ARG,USA,710000.0
AUS,AUS,107565269.0
AUS,NOR,3137342.0
AUS,NZL,6500000.0
AUS,SGP,19740000.0
AUS,USA,416222833.0
AUT,GBR,514640.0
AUT,POL,128660.0
AUT,SGP,800000.0
AUT,TUR,1801240.0
AZE,AZE,100000.0
BEL,AUS,26000000.0
BEL,BEL,68790507.0
BEL,CHE,47200000.0
BEL,DEU,62500000.0
BEL,ESP,32442500.0
BEL,FRA,31510350.0
BEL,GBR,26365374.0
BEL,GRC,3900000.0
BEL,IND,161200000.0
BEL,MAR,3200000.0
BEL,MYS,350000000.0
BEL,USA,66800000.0
BGR,ARM,64177.0
BGR,BEL,65665.0
BGR,BGR,3996856.0
BGR,GBR,618180.0
BGR,GRC,132173.0
BGR,HRV,64525.0
BGR,MKD,38484.0
BGR,ROM,76968.0
BGR,USA,250963.0
BRA,ARG,1440000.0
BRA,BRA,40050000.0
BRA,GBR,1100000.0
BRA,USA,2750000.0
CAN,BRA,70000000.0
CAN,CAN,2356903665.0
CAN,DEU,190798947.0
CAN,FRA,15439200.0
CAN,GBR,19032336.0
CAN,RUS,250000.0
CAN,SGP,3000000.0
CAN,TUR,101650000.0
CAN,USA,1077562189.0
CHE,AUT,25732000.0
CHE,CHE,130142635.0
CHE,DEU,155988700.0
CHE,DNK,10000000.0
CHE,EST,2150000.0
CHE,FIN,260000000.0
CHE,FRA,89780200.0
CHE,GBR,180219911.0
CHE,IRL,94265400.0
CHE,ISR,35000000.0
CHE,ITA,1286600.0
CHE,NLD,39884600.0
CHE,TUR,1000000.0
CHE,USA,1383300266.0
CHL,ARG,6960000.0
CHL,AUS,40000.0
CHL,AUT,40000.0
CHL,BEL,40000.0
CHL,BRA,770000.0
CHL,CAN,1120000.0
CHL,CHL,5050000.0
CHL,CHN,40000.0
CHL,CRI,40000.0
CHL,DEU,80000.0
CHL,DNK,40000.0
CHL,DZA,200000.0
CHL,ESP,500000.0
CHL,EST,80000.0
CHL,FRA,120000.0
CHL,GBR,320000.0
CHL,GRC,40000.0
CHL,HKG,40000.0
CHL,HUN,80000.0
CHL,IND,280000.0
CHL,IRL,80000.0
CHL,ITA,120000.0
CHL,MEX,80000.0
CHL,NLD,80000.0
CHL,NOR,40000.0
CHL,NZL,80000.0
CHL,PER,80000.0
CHL,PRT,40000.0
CHL,RUS,80000.0
CHL,SGP,40000.0
CHL,SLV,40000.0
CHL,USA,9303000.0
CHN,BRA,30000000.0
CHN,CHN,3010572300.0
CHN,DEU,62500000.0
CHN,GBR,3030502.0
CHN,HKG,105000000.0
CHN,IND,364000000.0
CHN,ISR,11000000.0
CHN,SGP,21000000.0
CHN,USA,981550000.0
COL,ARG,47500.0
CYM,USA,88485564.0
CZE,CZE,427320.0
CZE,HUN,10000.0
CZE,RUS,5000000.0
CZE,USA,2440000.0
DEU,AUT,35132000.0
DEU,BRA,39500000.0
DEU,CAN,29300000.0
DEU,CHE,4483240.0
DEU,CHN,10000000.0
DEU,DEU,667908315.0
DEU,DNK,7719600.0
DEU,ESP,1350930.0
