index,company_name,company_market,company_country_code,raised_amount_usd
4010,SkillSonics India,Education,IND,4000000.0
2855,MyPermissions,Security,ISR,4000000.0
138,Adly,Social Media,USA,4000000.0
2865,NASOFORM,Biotechnology,USA,4000000.0
5079,Zemanta,Blogging Platforms,USA,4000000.0
1340,Dynamic Yield,Personalization,ISR,4000000.0
1853,GreenWizard,Software,USA,4000000.0
3480,Puralytics,Clean Technology,USA,4000000.0
5358,ticketea,Ticketing,ESP,4000000.0
2220,Just Sing It,Games,USA,4000000.0
2674,Meldium,Consumer Internet,USA,4000000.0
663,BrightBytes,Big Data,USA,4000000.0
2135,Intelligent Mechatronic Systems,Automotive,CAN,4000000.0
3280,Phone.com,Messaging,USA,4000000.0
5370,uParts,E-Commerce,USA,4000000.0
1633,Flexis,Software,RUS,4000000.0
1708,Fusebill,Billing,CAN,4000000.0
2185,Jebbit,Finance,USA,4000000.0
4374,Tabtor,Education,USA,4000000.0
3468,Proximal Data,Software,USA,4000000.0
3469,Proxio,Networking,USA,4000000.0
6,15Five,Software,USA,4000000.0
5382,weipass,Security,CHN,4000000.0
711,CG Scholar,Education,USA,4000000.0
4264,Sunlight Foundation,Politics,USA,4000000.0
1735,Games2Win,Games,IND,4000000.0
2020,IDINCU,Customer Service,KOR,4000000.0
2588,Maker's Row,Software,USA,4000000.0
1935,Heart Metabolics,Biotechnology,USA,4000000.0
3793,Saluspot,Physicians,ESP,4044000.0
525,Binpress,Open Source,USA,4050000.0
2627,Massdrop,Social Commerce,USA,4050000.0
1780,GlamBox,Fashion,ARE,4080000.0
2795,Money Dashboard,Curated Web,GBR,4091178.0
1040,Contego Fraud Solutions,Software,GBR,4091178.0
3530,Quikly,E-Commerce,USA,4091280.0
225,Altierre,Wireless,USA,4100000.0
22,360pi,Artificial Intelligence,CAN,4100000.0
492,Bellabox,E-Commerce,SGP,4110000.0
2872,NVISION MEDICAL,Biotechnology,USA,4145000.0
2766,Mobisante,Health Care,USA,4200000.0
3526,Quest Inspar,Clean Technology,USA,4200000.0
3575,Ranku,Education,USA,4200000.0
4208,StayNTouch,Hotels,USA,4200000.0
1246,Dering Hall,Design,USA,4200000.0
619,BotanoCap,Biotechnology,ISR,4200000.0
3092,Opal Labs,Software,USA,4200000.0
1259,Diagnoplex,Biotechnology,CHE,4200000.0
4045,SmartNews,Software,JPN,4200000.0
4227,Stormpulse,Enterprise Software,USA,4200000.0
2609,MarkITx,E-Commerce,USA,4200000.0
1999,Hubba,Software,CAN,4200000.0
5087,Zentila,Enterprises,USA,4200000.0
3325,Plated,Hospitality,USA,4200000.0
4157,SplitSecnd,Hardware + Software,USA,4200000.0
823,Cernostics,Biotechnology,USA,4200000.0
1065,Corsa Technology,Hardware + Software,CAN,4200000.0
3062,Omegawave,Mobile,FIN,4241030.0
332,Arran Aromatics,Curated Web,GBR,4242704.0
651,Breaktime Studios,Mobile Games,USA,4250000.0
4823,Viralheat,Social Media Monitoring,USA,4250000.0
4757,Veduca,Colleges,BRA,4250000.0
3901,Servio,Translation,USA,4256180.0
1713,GAIN Fitness,Health and Wellness,USA,4280000.0
96,Acetec Semiconductor,Semiconductors,CHN,4294788.0
3327,Play Megaphone,Broadcasting,USA,4300000.0
277,App.io,Advertising,USA,4300000.0
790,Cartiva,Biotechnology,USA,4300000.0
922,Clinical Ink,Health and Wellness,USA,4300000.0
1227,Deepclass,Fashion,USA,4350000.0
2747,MixGenius,Marketplaces,CAN,4354836.0
2946,NewsWhip,Social Media Monitoring,IRL,4400000.0
2542,Lytics,Predictive Analytics,USA,4400000.0
1840,Graphite Software,Software,CAN,4400000.0
3582,Rayneer,Television,CHE,4400000.0
635,Boxed,Mobile Commerce,USA,4400000.0
4596,Treventis,Biotechnology,USA,4400000.0
4193,Sqwiggle,Software,USA,4400000.0
4006,Skift,Media,USA,4400000.0
1616,FitBionic,Biotechnology,USA,4400000.0
136,Addvocate,Enterprise Software,USA,4450000.0
3035,OTI Greentech,Clean Technology,CHE,4483240.0
192,Akermin,Biotechnology,USA,4500000.0
3168,Pacejet Logistics,Public Transportation,USA,4500000.0
