company_name,company_market,company_country_code,raised_amount_usd
0xdata,Analytics,USA,1700000.0
"1,2,3 Listo",E-Commerce,CHL,40000.0
1000museums.com,Curated Web,USA,1295758.0
1001 Menus,Restaurants,FRA,3536910.0
121nexus,Pharmaceuticals,USA,695000.0
1366 Technologies,Manufacturing,USA,77500000.0
15Five,Software,USA,4000000.0
1Mind,Social Media,USA,1000000.0
1SDK,Monetization,DEU,19299.0
1jiajie,E-Commerce,CHN,163132.0
2080 Media,News,USA,104000000.0
20lines,Curated Web,ITA,643300.0
21viaNet,Software,CHN,100000000.0
22seeds,Software,ISR,250000.0
24tidy,Services,CHN,164473.0
2U,Software,USA,20400000.0
2nd Watch,Corporate IT,USA,46000000.0
3-V Biosciences,Biotechnology,USA,40000000.0
30 Second Showcase,Photography,USA,25000.0
360Learning,Education,FRA,1543920.0
360SHOP,Enterprise Software,CHN,1623640.0
360incentives.com,Software,CAN,15300000.0
360pi,Artificial Intelligence,CAN,4100000.0
365Scores,Sports,JPN,1200000.0
3C Plus,Web Development,BRA,75000.0
3CLogic,Customer Service,USA,1540000.0
3D Robotics,Manufacturing,USA,150000000.0
3Pillar Global,Software,USA,12000000.0
3VR,Security,USA,7134388.0
3scale,Developer APIs,ESP,8400000.0
42Floors,Commercial Real Estate,USA,48000000.0
4INFO,Advertising,USA,48576000.0
4Soils,Kids,USA,50000.0
4th aspect,Advertising,GBR,1818300.0
500Friends,E-Commerce,USA,15000000.0
500Shops,Online Shopping,NGA,5000.0
500px,Photography,CAN,44000000.0
51Talk,Education,CHN,20000000.0
51aiya.com,Health Care,CHN,389673.0
591wed,Curated Web,CHN,20000000.0
5Rocks,Games,KOR,2310577.0
6Wunderkinder,Software,DEU,57000000.0
7-bites,Enterprise Software,JPN,590000.0
71lbs,Small and Medium Businesses,USA,75000.0
7signal Solutions,Web Hosting,USA,12750000.0
7write,Publishing,NLD,269260.0
8Trip,Travel,CHN,49200000.0
8villages,Mobile,SGP,150000.0
908 Devices,Manufacturing,USA,28000000.0
91JinRong,Finance,CHN,19580000.0
9Lenses,SaaS,USA,9300000.0
9SLIDES,Enterprise Software,USA,1000000.0
A10 Networks,Communications Hardware,USA,80000000.0
ABSMaterials,Clean Technology,USA,8000000.0
ACCO Semiconductor,Semiconductors,USA,12191919.0
ACM Capital Partners,Consulting,USA,16000000.0
ADC Therapeutics,Biotechnology,CHE,80000000.0
ADENTS HTI,Software,FRA,2610400.0
ADOMIC (formerly YieldMetrics),Advertising,USA,13600000.0
ADmantX,Creative,USA,2688800.0
AG&P,Clean Technology,PHL,106000000.0
AGELON _Ï,Business Services,RUS,225000.0
AGRIMAPS,Mobile,CHL,40000.0
