funded_month,Count,investor_city
2004-01,7,Westport
2004-02,3,Shanghai
2004-03,8,Waltham
2004-04,7,Waltham
2004-05,5,Westport
2004-06,9,Westport
2004-07,12,Woodside
2004-08,5,Waltham
2004-09,6,Wellesley
2004-10,9,Winter Park
2004-11,5,Palo Alto
2004-12,9,Waltham
2005-01,57,Melon Park
2005-02,34,Menlo Park
2005-03,59,Melon Park
2005-04,45,Melon Park
2005-05,43,Winter Park
2005-06,54,Westport
2005-07,38,Menlo Park
2005-08,35,Melon Park
2005-09,52,Menlo Park
2005-10,52,Melon Park
2005-11,35,Melon Park
2005-12,47,Westport
2006-01,103,Williamstown
2006-02,50,Menlo Park
2006-03,66,Menlo Park
2006-04,54,Wellesley
2006-05,59,Wood Dale
2006-06,71,Melon Park
2006-07,59,Westport
2006-08,47,Menlo Park
2006-09,66,Winnetka
2006-10,64,Wooster
2006-11,51,Melon Park
2006-12,38,Melon Park
2007-01,86,Melon Park
2007-02,66,Melon Park
2007-03,67,Melon Park
2007-04,51,Wilmington
2007-05,82,Yardley
2007-06,77,Zeist
2007-07,77,Melon Park
2007-08,58,Westport
2007-09,80,Melon Park
2007-10,58,Melon Park
2007-11,42,Woodcliff Lake
2007-12,59,West Hollywood
2008-01,98,Melon Park
2008-02,78,Zaragoza
2008-03,89,Weston
2008-04,105,Melon Park
2008-05,73,Melon Park
2008-06,67,Melon Park
2008-07,48,Melon Park
2008-08,66,Menlo Park
2008-09,57,Melon Park
2008-10,78,Melon Park
2008-11,47,Winston Salem
2008-12,50,Melon Park
2009-01,66,Melon Park
2009-02,44,Melon Park
2009-03,54,Winchester
2009-04,55,Melon Park
2009-05,40,Melon Park
2009-06,47,White Plains
2009-07,68,Williamstown
2009-08,64,Wayne
2009-09,48,Yardley
2009-10,71,Melon Park
2009-11,97,Melon Park
2009-12,80,Melon Park
2010-01,73,Â’_Â’_cully
2010-02,46,Melon Park
2010-03,82,Westport
2010-04,83,Williamstown
2010-05,71,Melon Park
2010-06,80,Â’_Â’_cully
2010-07,78,Melon Park
2010-08,52,Melon Park
2010-09,76,Â’_Â’_cully
2010-10,58,Melon Park
2010-11,84,Melon Park
2010-12,71,Williamstown
2011-01,93,Melon Park
2011-02,77,Melon Park
2011-03,77,Menlo Park
2011-04,66,Melon Park
2011-05,96,Melon Park
2011-06,113,Yverdon-les-bains
2011-07,92,Yokohama
2011-08,104,Melon Park
2011-09,108,Melon Park
2011-10,98,Woodside
2011-11,83,Woodside
2011-12,70,Melon Park
2012-01,147,Woodside
2012-02,73,Melon Park
2012-03,87,Menlo Park
2012-04,112,Wuppertal
2012-05,116,Melon Park
2012-06,130,Melon Park
2012-07,141,Melon Park
2012-08,87,Woodside
2012-09,79,Woodside
2012-10,127,Melon Park
2012-11,78,Melon Park
2012-12,80,Wuppertal
2013-01,98,Melon Park
2013-02,94,Zeist
2013-03,99,Melon Park
2013-04,136,Melon Park
2013-05,100,Menlo Park
2013-06,106,Woodside
2013-07,124,Melon Park
2013-08,100,Melon Park
2013-09,131,Melon Park
2013-10,132,Winnipeg
2013-11,101,Menlo Park
2013-12,95,Melon Park
