investor_city,funded_month,Rounds
Menlo Park,2004-01,7
New York,2004-02,3
Menlo Park,2004-03,8
New York,2004-04,7
Boston,2004-05,5
Menlo Park,2004-06,9
Menlo Park,2004-07,12
Menlo Park,2004-08,5
Menlo Park,2004-09,6
Menlo Park,2004-10,9
Palo Alto,2004-11,5
Menlo Park,2004-12,9
Menlo Park,2005-01,57
Menlo Park,2005-02,34
Menlo Park,2005-03,59
Menlo Park,2005-04,45
Menlo Park,2005-05,43
Menlo Park,2005-06,54
Menlo Park,2005-07,38
Menlo Park,2005-08,35
Menlo Park,2005-09,52
Menlo Park,2005-10,52
Menlo Park,2005-11,35
Menlo Park,2005-12,47
Menlo Park,2006-01,103
Menlo Park,2006-02,50
Menlo Park,2006-03,66
Menlo Park,2006-04,54
Menlo Park,2006-05,59
Menlo Park,2006-06,71
Menlo Park,2006-07,59
Menlo Park,2006-08,47
Menlo Park,2006-09,66
Menlo Park,2006-10,64
Menlo Park,2006-11,51
Menlo Park,2006-12,38
Menlo Park,2007-01,86
Menlo Park,2007-02,66
Menlo Park,2007-03,67
Menlo Park,2007-04,51
Menlo Park,2007-05,82
Menlo Park,2007-06,77
Menlo Park,2007-07,77
Menlo Park,2007-08,58
Menlo Park,2007-09,80
Menlo Park,2007-10,58
Menlo Park,2007-11,42
Menlo Park,2007-12,59
Menlo Park,2008-01,98
Menlo Park,2008-02,78
Menlo Park,2008-03,89
Menlo Park,2008-04,105
Menlo Park,2008-05,73
Menlo Park,2008-06,67
Menlo Park,2008-07,48
Menlo Park,2008-08,66
Menlo Park,2008-09,57
Menlo Park,2008-10,78
Menlo Park,2008-11,47
Menlo Park,2008-12,50
Menlo Park,2009-01,66
Menlo Park,2009-02,44
Menlo Park,2009-03,54
Menlo Park,2009-04,55
Menlo Park,2009-05,40
Menlo Park,2009-06,47
Menlo Park,2009-07,68
Menlo Park,2009-08,64
Menlo Park,2009-09,48
Menlo Park,2009-10,71
Menlo Park,2009-11,97
Menlo Park,2009-12,80
Menlo Park,2010-01,73
Menlo Park,2010-02,46
Menlo Park,2010-03,82
Menlo Park,2010-04,83
Menlo Park,2010-05,71
Menlo Park,2010-06,80
Menlo Park,2010-07,78
Menlo Park,2010-08,52
New York,2010-08,52
Menlo Park,2010-09,76
Menlo Park,2010-10,58
Menlo Park,2010-11,84
Menlo Park,2010-12,71
Menlo Park,2011-01,93
Menlo Park,2011-02,77
Menlo Park,2011-03,77
New York,2011-04,66
Menlo Park,2011-05,96
Menlo Park,2011-06,113
Menlo Park,2011-07,92
Menlo Park,2011-08,104
Menlo Park,2011-09,108
Menlo Park,2011-10,98
Menlo Park,2011-11,83
Menlo Park,2011-12,70
Menlo Park,2012-01,147
Menlo Park,2012-02,73
Menlo Park,2012-03,87
Menlo Park,2012-04,112
Menlo Park,2012-05,116
Menlo Park,2012-06,130
Menlo Park,2012-07,141
Menlo Park,2012-08,87
Menlo Park,2012-09,79
Menlo Park,2012-10,127
Menlo Park,2012-11,78
Menlo Park,2012-12,80
New York,2013-01,98
Menlo Park,2013-02,94
Menlo Park,2013-03,99
Menlo Park,2013-04,136
Menlo Park,2013-05,100
Menlo Park,2013-06,106
New York,2013-07,124
Menlo Park,2013-08,100
Menlo Park,2013-09,131
Menlo Park,2013-10,132
Menlo Park,2013-11,101
Menlo Park,2013-12,95
