,funded_month,investor_state_code,Count
5380,2013-02,MN,1
2363,2008-10,ME,1
2366,2008-10,MUS,1
2367,2008-10,MYS,1
2370,2008-10,NH,1
2376,2008-10,OK,1
5358,2013-02,DNK,1
2380,2008-10,RI,1
5364,2013-02,GA,1
2383,2008-10,TWN,1
2387,2008-10,WI,1
2388,2008-11,AL,1
2389,2008-11,ARG,1
2391,2008-11,AZ,1
2392,2008-11,BC,1
2401,2008-11,DNK,1
2402,2008-11,ESP,1
2384,2008-10,TX,1
2403,2008-11,FIN,1
2359,2008-10,ITA,1
5367,2013-02,HKG,1
2319,2008-09,NLD,1
2320,2008-09,NOR,1
5375,2013-02,LTU,1
2326,2008-09,QAT,1
5374,2013-02,KS,1
2331,2008-09,TN,1
2333,2008-09,UT,1
5366,2013-02,GRC,1
2336,2008-10,AB,1
2338,2008-10,AZ,1
2339,2008-10,BC,1
2340,2008-10,BEL,1
2346,2008-10,CYM,1
2349,2008-10,DNK,1
2352,2008-10,GA,1
2355,2008-10,ID,1
2337,2008-10,AUT,1
2404,2008-11,FL,1
2406,2008-11,GA,1
2415,2008-11,KY,1
2470,2008-12,NOR,1
5333,2013-01,THA,1
2475,2008-12,PRT,1
2476,2008-12,QC,1
2477,2008-12,SC,1
2480,2008-12,UT,1
2483,2009-01,AK,1
2467,2008-12,MN,1
2484,2009-01,AL,1
2488,2009-01,BHR,1
5329,2013-01,ROM,1
2496,2009-01,DNK,1
2502,2009-01,HI,1
2503,2009-01,HKG,1
2505,2009-01,IN,1
5326,2013-01,POL,1
2486,2009-01,AZ,1
2466,2008-12,MI,1
5335,2013-01,TUR,1
2461,2008-12,ID,1
2416,2008-11,LUX,1
2419,2008-11,ME,1
2421,2008-11,MO,1
2422,2008-11,MUS,1
2425,2008-11,NH,1
2427,2008-11,NLD,1
5344,2013-02,AZ,1
2431,2008-11,OK,1
2434,2008-11,PHL,1
2435,2008-11,SVN,1
2440,2008-11,WI,1
2443,2008-12,AZ,1
2446,2008-12,BHS,1
2450,2008-12,CO,1
2457,2008-12,GA,1
2459,2008-12,HKG,1
2460,2008-12,IA,1
2317,2008-09,NH,1
2508,2009-01,ISL,1
2315,2008-09,MI,1
2312,2008-09,LUX,1
2185,2008-06,TWN,1
5414,2013-03,AZE,1
2190,2008-07,AL,1
2192,2008-07,BC,1
2193,2008-07,BEL,1
2195,2008-07,CHE,1
2197,2008-07,CO,1
2181,2008-06,SGP,1
2199,2008-07,CYM,1
2204,2008-07,FL,1
5411,2013-03,AL,1
2209,2008-07,ID,1
5410,2013-03,AB,1
2213,2008-07,ITA,1
2218,2008-07,MUS,1
2221,2008-07,NLD,1
2202,2008-07,DNK,1
2222,2008-07,NOR,1
2180,2008-06,SC,1
2178,2008-06,RUS,1
5439,2013-03,HKG,1
2132,2008-06,AUT,1
2134,2008-06,BEL,1
5431,2013-03,EST,1
2149,2008-06,HKG,1
2150,2008-06,HUN,1
2153,2008-06,IRL,1
2179,2008-06,SAU,1
2155,2008-06,ITA,1
2157,2008-06,KOR,1
2158,2008-06,KS,1
2164,2008-06,MO,1
2165,2008-06,MUS,1
2167,2008-06,NH,1
2170,2008-06,NM,1
2176,2008-06,POL,1
5424,2013-03,COL,1
5405,2013-02,TWN,1
2224,2008-07,OH,1
2226,2008-07,OR,1
2269,2008-08,OK,1
2272,2008-08,PRT,1
2274,2008-08,RI,1
2276,2008-08,SD,1
5388,2013-02,NM,1
2283,2008-08,VT,1
2286,2008-09,AL,1
2268,2008-08,OH,1
2287,2008-09,ARE,1
5384,2013-02,NC,1
5383,2013-02,MYS,1
2298,2008-09,ESP,1
2299,2008-09,FIN,1
2300,2008-09,FL,1
