,Investor,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BGD,BGR,BMU,BRA,CAN,CHE,CHL,CHN,COL,CRI,CYM,CYP,CZE,DEU,DNK,ECU,EGY,ESP,EST,FIN,FRA,GBR,GHA,GIB,GRC,GTM,HKG,HRV,HUN,IDN,IND,IRL,ISL,ISR,ITA,JOR,JPN,KEN,KOR,LBN,LTU,LUX,LVA,MAF,MAR,MEX,MKD,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROM,RUS,SAU,SGP,SLV,SRB,SVK,SVN,SWE,THA,TUR,TWN,UKR,USA
0,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000,0,0,0,40830000,0,0,0,0,5525000,0,0,0,0,0,0,0,0,6410000,0,0,0,0,198000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270000000.0
1,ARG,0,49205000,0,0,0,0,0,0,0,0,61264586,0,75000,21255000,0,25000,0,0,0,0,0,0,0,0,25000,0,0,0,575000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296583470.0
2,AUS,0,0,0,1292844269,0,0,0,0,0,0,0,121820000,0,0,0,0,0,0,0,0,2865110,0,0,0,0,0,3760000,0,57000000,0,0,0,0,0,0,0,0,0,10000000,0,104000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6500000,0,0,0,0,0,0,0,0,74000000,0,0,0,0,0,0,0,0,0,8116763631.0
3,AUT,0,0,0,0,369592556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13307160,0,0,0,0,0,0,0,797460,0,0,0,0,0,0,0,0,0,0,0,0,2500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800000,0,0,0,0,0,0,1801240,0,0,40608000.0
4,AZE,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,BEL,0,0,0,26000000,0,0,3622547032,0,0,0,0,0,288475672,0,0,0,0,0,0,14500000,574276000,0,0,0,74442500,0,2871400,1181071060,1035805225,0,0,3900000,0,0,0,0,0,161200000,37830000,0,5000000,0,10000000,0,0,0,0,0,0,0,0,3200000,0,0,350000000,0,817598200,32540000,0,0,0,0,4230300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4327981771.0
6,BGR,0,0,64177,0,0,0,65665,0,31528892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618180,0,0,132173,0,0,169173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38484,0,0,0,0,0,0,0,0,0,0,76968,0,0,0,0,0,0,0,0,0,0,0,0,19250963.0
7,BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141450000.0
8,BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000.0
9,BMU,0,0,0,0,0,0,0,0,0,0,0,0,84720000,0,0,0,0,0,0,0,81000000,0,0,0,0,0,0,0,50621162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14200000.0
10,BRA,0,1440000,0,12450000,0,0,0,0,0,0,1370540000,0,0,0,0,0,0,0,0,0,9360000,0,0,0,0,0,0,0,110100000,0,0,0,0,0,0,0,0,0,0,0,1750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17250000.0
11,CAN,0,0,0,0,0,0,0,0,0,0,70000000,34441125765,0,0,46610000,0,0,0,0,0,226033947,0,0,0,5546000,0,0,790005671,940067848,0,0,0,0,0,0,0,0,97430000,144540000,0,132385810,0,0,8000000,0,0,0,0,0,0,0,0,0,0,0,4700,0,0,0,0,0,0,0,0,0,5450000,0,3000000,0,0,0,0,0,0,1140470000,0,0,30477669072.0
12,CHE,0,0,18787500,0,69732000,0,435136000,0,2000000,0,0,569000000,6443100213,0,0,0,0,0,0,0,1075261660,80260000,0,0,1608884550,6150000,270504800,371660132,2641688148,0,0,0,0,0,0,0,0,92500000,176865400,0,317850000,1286600,0,0,0,6000000,0,0,41500000,0,0,0,0,0,0,0,322909480,6700000,0,0,0,0,0,0,0,510800000,0,78000000,0,0,0,0,115644240,0,1000000,0,0,27072387260.0
13,CHL,0,15720000,0,120000,40000,0,40000,0,0,0,2050000,81508844,40000,36350000,240000,40000,40000,0,0,160000,720000,40000,120000,0,1720000,160000,40000,360000,942000,0,0,40000,0,40000,0,160000,0,840000,160000,0,0,280000,0,480000,40000,0,0,0,0,0,0,0,1190000,0,40000,0,80000,0,80000,0,480000,0,40000,760000,40000,80000,0,0,40000,0,0,40000,0,0,80000,0,0,36019000.0
14,CHN,0,0,0,0,0,0,0,0,0,0,30000000,78400000,0,0,40070606150,0,0,0,0,0,336018248,12000000,0,0,0,0,0,0,359703198,0,0,0,0,12000000,0,0,0,366080000,0,0,11000000,20000000,0,0,0,64663673,0,0,0,0,0,0,0,0,20000000,0,0,0,0,0,0,0,0,0,0,0,0,22000000,0,0,0,0,0,12701285,0,75000000,0,9103529705.0
15,COL,0,47500,0,0,0,0,0,0,0,0,535000,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700000.0
16,CYM,0,0,0,0,0,0,0,0,0,0,0,38000000,0,0,0,0,0,0,0,0,19341550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000,0,0,11350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695019864.0
17,CYP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000000.0
18,CZE,0,0,0,0,0,0,0,0,0,0,0,3000000,0,0,0,0,0,0,0,4707820,0,0,0,0,0,0,0,0,2600000,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000000,0,0,0,0,0,0,0,0,0,0,0,5240000.0
19,DEU,0,0,0,24900000,385672927,0,77782120,0,0,0,199500000,490750000,2171623240,0,200000000,0,0,0,0,16500000,19791879211,69339600,0,0,114924030,0,6602480,825110710,3740254429,0,0,0,0,0,0,0,40000000,117000000,132032250,0,823597620,1286600,0,125967600,0,3524456,0,0,0,266240,43600000,0,50000000,0,394000000,0,290000000,4260000,13500000,0,0,0,7044419,0,0,410550000,0,53000000,0,0,0,0,499872828,0,679450,0,0,32246900982.0
20,DNK,0,0,0,0,30587700,0,0,0,0,0,0,12000000,488036960,0,0,0,0,0,0,0,914896000,3538882372,0,0,1310000,0,70632300,108621000,1540647638,0,0,0,0,0,0,14000000,0,0,47132700,0,0,38925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15800000,2610000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733890192,0,0,0,0,6496820076.0
