investor_name,investor_market,investor_country_code,raised_amount_usd
101 Startups,Finance,ESP,2495275.0
10Xelerator,Finance,USA,140000.0
23Seed,Finance,CHN,164473.0
3D Systems,Software,USA,600000.0
500 Startups,Finance,USA,259818886.0
A. Soriano Corporation,Finance,PHL,53000000.0
AFSquare,Finance,USA,38605000.0
AKQA,Advertising,USA,2500000.0
AMD,Hardware + Software,USA,6351930.0
AT&T,Mobile,USA,400000.0
AVG Technologies,Software,USA,300000.0
Accion Labs,Software,USA,2600000.0
Adcash,Advertising,EST,231588.0
Adtoma,Advertising,SWE,250000.0
Agilent Technologies,Biotechnology,USA,21000000.0
Alkermes,Biotechnology,USA,38000000.0
Allen & Company,Finance,USA,211600000.0
Allos Ventures,Software,USA,24800000.0
AlphaLab,Finance,USA,50000.0
Alt Option Return,Finance,USA,2000000.0
Alto Invest,Finance,FRA,45952000.0
American Express,Finance,USA,212800000.0
Amgen,Biotechnology,USA,81132700.0
Amplify.LA,Finance,USA,8150000.0
Amí©rica Mí_vil,Mobile,MEX,100000000.0
Arch Grants,Finance,USA,350000.0
Archant,Advertising,GBR,909150.0
Archimedes Labs,Mobile,USA,620000.0
Ardent Capital,Advertising,THA,1215000.0
Autobytel.com,Software,USA,2500000.0
Autodesk,Software,USA,13937704.0
Avonmore Developments,Finance,GBR,3000000.0
BDMI,Finance,USA,3200000.0
BSB,Finance,USA,7000000.0
BSkyB,Software,GBR,60350000.0
Bantam Group,Finance,USA,360000.0
Beehive Holdings,Finance,CAN,1000000.0
Benchmark Capital,Finance,USA,515000.0
Big Issue Invest,Finance,GBR,40124.0
Bill & Melinda Gates Foundation,Biotechnology,USA,35320000.0
Biotechnology and Biological Sciences Research Council (BBSRC),Biotechnology,GBR,5303380.0
BlackRock,Finance,USA,120000000.0
Blackwood Holdings Group LLC,Finance,USA,575000.0
Blue Water Angels,Finance,USA,1710000.0
Blume Ventures,Mobile,IND,5430405.0
Bolt Ventures,Finance,BRA,1250000.0
Bolt.io,Finance,USA,100000.0
Bon Angels,Finance,RUS,350000.0
Broadfin Capital,Finance,USA,68500000.0
Business Growth Center,Finance,USA,300000.0
Caixa Capital Risc,Finance,ESP,17829650.0
Cambia Health Solutions,Biotechnology,USA,30098491.0
CapDecisif Management,Software,FRA,13000000.0
Capital One,Finance,USA,60000000.0
Celgene,Biotechnology,USA,198100000.0
Cisco,Software,USA,147500000.0
Citrix Systems,Software,USA,25000000.0
Clairvest Group,Finance,CAN,43500000.0
Communitech HYPERDRIVE,Finance,CAN,120088.0
Companisto,Finance,DEU,203282.0
CompuCredit,Finance,USA,20000000.0
Concur Technologies,Software,USA,32300000.0
Confluence Capital,Enterprise Software,USA,915000.0
Creaturk,Software,TUR,50000000.0
CrunchFund,Finance,USA,438707579.0
DAG Ventures,Finance,USA,423360614.0
DST Global,Software,GBR,57000000.0
DaVita,Biotechnology,USA,12000000.0
Dainippon Sumitomo,Biotechnology,JPN,29167989.0
Dell,Hardware + Software,USA,61600000.0
Deutsche Boerse,Finance,DEU,20000000.0
Deutsche Telekom,Enterprise Software,DEU,89000000.0
Digital Realty Trust,Finance,USA,72000000.0
Discovery Alliance LLC,Finance,USA,425000.0
Dorm Room Fund,Finance,USA,1640000.0
DreamIt Ventures,Finance,USA,4066666.0
E-Synergy,Finance,GBR,508000.0
EMC,Enterprise Software,USA,150000000.0
East West Bancorp,Finance,USA,50000000.0
Eastlabs,Finance,UKR,20000.0
Edwards Lifesciences,Biotechnology,USA,3000000.0
Elevate Ventures,Finance,USA,3462360.0
Eli Lilly,Biotechnology,USA,26000000.0
EnCana,Enterprise Software,CAN,16000000.0
Enbridge,Clean Technology,CAN,43000000.0
Enhanced Capital Partners,Finance,USA,2800000.0
Explore. Dream. Discover.,Finance,ISR,1550000.0
FLOODGATE,Finance,USA,191953002.0
Fairfax Financial Holdings,Finance,CAN,1000000000.0
Fifth Third Bancorp,Finance,USA,38000000.0
Finn Capital Partners,Finance,USA,1000000.0
FireStarter Fund,Finance,USA,4010000.0
Firestartr.co,Finance,GBR,1250000.0
Firsthand Technology Value Fund,Clean Technology,USA,11500000.0
Forest Laboratories,Biotechnology,USA,60000000.0
Fortress Investment Group,Finance,USA,118000000.0
FounderFuel,Finance,CAN,747045.0
Foundry Group,Software,USA,208110000.0
FundersClub,Finance,USA,66036343.0
GameFounders,Finance,EST,274741.0
Golden Triangle Angelnet,Finance,CAN,1000000.0
Google,Software,USA,200000000.0
Google Ventures,Finance,USA,936765000.0
Greenhouse Group,Advertising,NLD,500000.0
Grenoble Angels,Finance,FRA,260000.0
Greycroft Partners,Finance,USA,221950000.0
Groupon,Advertising,USA,400000.0
H-FARM Ventures,Mobile,GBR,1352872.0
Hadasit Bio Holdings,Biotechnology,ISR,2350000.0
Heliae,Biotechnology,USA,5000000.0
ICICI Venture,Finance,IND,22400000.0
IDG Capital Partners,Finance,CHN,162499004.0
IMJ Investment Partners Pte. Ltd,Finance,SGP,2150000.0
Iberdrola,Enterprise Software,ESP,15000000.0
Idealabs,Finance,BEL,22469.0
Indiegogo,Finance,USA,150000.0
Infocomm Investments,Finance,SGP,16000000.0
Innova Kapital,Finance,GBR,956000.0
Innovation Endeavors,Finance,USA,207925000.0
InvisibleCRM,Enterprise Software,USA,250000.0
Ipreo,Software,USA,6000000.0
Irrus Investments,Finance,IRL,878619.0
Isai,Finance,FRA,9888460.0
Italian Angels for Growth,Finance,ITA,2807940.0
JANVEST Technologies,Finance,ISR,5850000.0
JumpStart Foundry,Finance,USA,2115000.0
KDDI,Mobile,JPN,15000000.0
Kae Capital,Finance,IND,7000000.0
Kalaari Capital,Finance,IND,48700000.0
Kapor Capital,Finance,USA,46547621.0
Kauffman Foundation,Finance,USA,24075000.0
Keiretsu Forum,Finance,USA,16450000.0
Kingsoft,Software,HKG,20000000.0
Kiva,Finance,USA,1200000.0
Kstartup,Finance,KOR,35687.0
LAUNCHub,Finance,BGR,1895467.0
LUBio Science,Biotechnology,GBR,1000000.0
Last Chance Ads,Advertising,NOR,1500000.0
Lee Enterprises,Biotechnology,USA,9000000.0
Leverate Media,Advertising,DEU,1000000.0
Logitech,Hardware + Software,USA,3900000.0
Lonza Group,Biotechnology,CHE,2800000.0
MEDL Mobile,Mobile,USA,2000000.0
MTC Software,Software,USA,600000.0
MaRS Investment Accelerator Fund,Finance,CAN,17224135.0
Madrona Venture Group,Mobile,USA,205350000.0
Massachusetts Clean Energy Center,Clean Technology,USA,150000.0
Massachusetts Life Sciences Center,Biotechnology,USA,1000000.0
Matrix Partners China,Finance,CHN,78244708.0
Mayo Clinic Rochester,Biotechnology,USA,48000000.0
Menlo Ventures,Finance,USA,528855420.0
Milestone Venture Partners,Software,USA,39500000.0
Mitsui & Co,Finance,JPN,127000000.0
Mola.com,Finance,ESP,4663448.0
Monterro,Finance,SWE,6500000.0
Motorola Solutions,Enterprise Software,USA,15650000.0
Mylan,Biotechnology,USA,12000000.0
Mymicroinvest,Enterprise Software,BEL,473664.0
NDRC,Finance,IRL,447596.0
NRG Energy,Clean Technology,USA,64250000.0
NTT Data,Software,JPN,2125775.0
Nelnet,Finance,USA,7420000.0
Nokia Growth Partners,Mobile,USA,103500000.0
North Shore InnoVentures,Biotechnology,USA,300000.0
Norwest Venture Partners,Finance,USA,753306668.0
Novartis,Biotechnology,CHE,62500000.0
Nvidia,Hardware + Software,USA,18000000.0
ORIX Ventures,Finance,USA,10000000.0
Ooga Labs,Finance,USA,22450000.0
Oracle Corporation,Enterprise Software,USA,62500000.0
PDL Biopharma,Biotechnology,USA,130000000.0
PLUS Ventures,Finance,ISR,11050000.0
Panasonic,Hardware + Software,JPN,13000000.0
Partnership Fund for New York City,Finance,USA,13400000.0
Portland Seed Fund,Finance,USA,7673000.0
Prairie Capital,Finance,USA,33620000.0
Premier Partners,Finance,KOR,3313170.0
Prospect Capital Corporation,Finance,USA,70000000.0
Rampersand,Finance,NOR,1000000.0
Red Hat,Software,DEU,172100000.0
Rees Capital,Finance,USA,800000.0
Rocket Internet AG,Software,DEU,321500000.0
Rockwell Automation,Hardware + Software,USA,3000000.0
SAP,Enterprise Software,USA,40000000.0
SOSventures,Finance,USA,51595245.0
Safeguard Scientifics,Finance,USA,85489997.0
Sage Group,Software,GBR,1200000.0
Salesforce,Software,USA,418960000.0
Samsung Electronics,Hardware + Software,KOR,13000000.0
Sapient,Enterprise Software,USA,2500000.0
Sberbank,Finance,RUS,8750000.0
Seedrs,Finance,GBR,2688310.0
Sembcorp Industries,Clean Technology,SGP,6513865.0
Shanghai Fosun Pharmaceutical,Biotechnology,CHN,22400000.0
Siamosoci,Finance,ITA,375000.0
Signavio,Software,DEU,1560995.0
Smartlogic Semaphore,Software,GBR,1000000.0
Socialatom Ventures,Finance,USA,187500.0
Spark Capital,Finance,USA,469950000.0
SparkLabs Global Ventures,Finance,USA,1450000.0
Sprint Nextel,Mobile,USA,80540000.0
Square 1 Bank,Finance,USA,200750000.0
StartFast Venture Accelerator,Software,USA,18000.0
Student Upstarts,Finance,GBR,23428.0
"SunPower, Inc.",Clean Technology,USA,54660614.0
Synclogue,Software,JPN,46263.0
TIBCO Software,Enterprise Software,USA,1000000.0
Tandem,Finance,USA,2225000.0
Tandem Capital,Mobile,USA,5453000.0
TechLaunch,Finance,USA,300000.0
Techpeaks,Finance,ITA,77744.0
Tesco,Enterprise Software,GBR,350000000.0
Tethys BioScience,Biotechnology,USA,18913020.0
Texas Atlantic Capital,Finance,DEU,20400000.0
The Next 36,Finance,CAN,157398.0
TiE Angels,Finance,USA,14600000.0
Transgene,Biotechnology,FRA,2702490.0
TriZetto,Software,USA,18700000.0
Trinity Ventures,Finance,USA,304695000.0
UDD Ventures,Finance,CHL,200000.0
Umoe,Finance,NOR,9400000.0
Unity Trust Bank,Finance,GBR,6515581.0
UpWest Labs,Finance,USA,2510000.0
Upfront Ventures,Finance,USA,86682401.0
VMware,Software,USA,114500000.0
Valensas,Mobile,TUR,350000.0
Venista Ventures,Mobile,DEU,115000.0
VenturEast,Finance,IND,22000000.0
Venture Hive,Finance,USA,25000.0
VentureSpur,Finance,USA,840000.0
Verizon Communications,Mobile,USA,25000000.0
VivaKi,Advertising,USA,9000000.0
Voyager Capital,Advertising,USA,27499999.0
WRF Capital,Mobile,USA,3800000.0
Waddell & Reed,Finance,USA,42400000.0
Wasabi Ventures,Finance,USA,4813124.0
Wekix VC,Finance,ISR,600000.0
Wellington Partners,Finance,DEU,114728163.0
West,Hardware + Software,USA,120600000.0
White Oak Advisory,Finance,GBR,8000000.0
Whittier Trust,Finance,USA,600000.0
Work-Bench,Enterprise Software,USA,3000000.0
Xiaomi,Mobile,CHN,11000000.0
Z80 Labs Technology Incubator,Mobile,USA,1000000.0
Zebra Technologies,Enterprise Software,USA,19000000.0
ZetrOZ,Biotechnology,USA,2000000.0
ZhenFund,Finance,CHN,12804368.0
dpixel,Finance,ITA,1929900.0
eBay Enterprise,Enterprise Software,USA,9500000.0
gener8tor,Finance,USA,2900000.0
hub:raum,Finance,DEU,1051202.0
iVentures Asia Ltd,Finance,HKG,1000000.0
mParticle,Software,USA,3000000.0
mktg,Advertising,USA,1700000.0
