company_market,funded_quarter,funding,startup
All,2004-Q1,11000000.0,94
All,2004-Q2,7000000.0,83
All,2004-Q3,10400000.0,79
All,2004-Q4,10000000.0,80
All,2005-Q1,8500000.0,798
All,2005-Q2,8400000.0,739
All,2005-Q3,8000000.0,719
All,2005-Q4,10000000.0,741
All,2006-Q1,8000000.0,984
All,2006-Q2,10000000.0,904
All,2006-Q3,8000000.0,914
All,2006-Q4,9000000.0,852
All,2007-Q1,8000000.0,1069
All,2007-Q2,9000000.0,967
All,2007-Q3,11350000.0,1088
All,2007-Q4,10000000.0,876
All,2008-Q1,8800000.0,1062
All,2008-Q2,8750000.0,1085
All,2008-Q3,10000000.0,808
All,2008-Q4,8270000.0,810
All,2009-Q1,7000000.0,825
All,2009-Q2,8740000.0,833
All,2009-Q3,8700000.0,762
All,2009-Q4,8000000.0,1127
All,2010-Q1,6438857.0,1116
All,2010-Q2,8900000.0,1184
All,2010-Q3,6000000.0,1161
All,2010-Q4,7503751.0,929
All,2011-Q1,7192630.0,1162
All,2011-Q2,7500000.0,1218
All,2011-Q3,8500000.0,1211
All,2011-Q4,5500000.0,1086
All,2012-Q1,5100000.0,1428
All,2012-Q2,6000000.0,1418
All,2012-Q3,5000000.0,1287
All,2012-Q4,4977000.0,1348
All,2013-Q1,3600000.0,1425
All,2013-Q2,5000000.0,1685
All,2013-Q3,3636603.0,1683
All,2013-Q4,5450000.0,1874
Advertising,2004-Q1,250000.0,1
Advertising,2004-Q2,3000000.0,4
Advertising,2004-Q3,6250000.0,2
Advertising,2004-Q4,6000000.0,5
Advertising,2005-Q1,6000000.0,26
Advertising,2005-Q2,9000000.0,12
Advertising,2005-Q3,5000000.0,10
Advertising,2005-Q4,5000000.0,7
Advertising,2006-Q1,7500000.0,40
Advertising,2006-Q2,7300000.0,28
Advertising,2006-Q3,6000000.0,40
Advertising,2006-Q4,5000000.0,25
Advertising,2007-Q1,4581196.5,72
Advertising,2007-Q2,7000000.0,53
Advertising,2007-Q3,10000000.0,58
Advertising,2007-Q4,9000000.0,71
Advertising,2008-Q1,8365000.0,80
Advertising,2008-Q2,6000000.0,61
Advertising,2008-Q3,7500000.0,52
Advertising,2008-Q4,5000000.0,39
Advertising,2009-Q1,7500000.0,69
Advertising,2009-Q2,10000000.0,46
Advertising,2009-Q3,5000000.0,43
Advertising,2009-Q4,4750000.0,60
Advertising,2010-Q1,7250000.0,51
Advertising,2010-Q2,7000000.0,93
Advertising,2010-Q3,6000000.0,68
Advertising,2010-Q4,5600000.0,46
Advertising,2011-Q1,9000000.0,87
Advertising,2011-Q2,4000000.0,83
Advertising,2011-Q3,4000000.0,65
Advertising,2011-Q4,4300000.0,82
Advertising,2012-Q1,9000000.0,81
Advertising,2012-Q2,7500000.0,96
Advertising,2012-Q3,5000000.0,94
Advertising,2012-Q4,2000000.0,69
Advertising,2013-Q1,5000000.0,100
Advertising,2013-Q2,4369000.0,96
Advertising,2013-Q3,2250000.0,84
Advertising,2013-Q4,5000000.0,62
Biotechnology,2004-Q1,38000000.0,14
Biotechnology,2004-Q2,2327975.0,8
Biotechnology,2004-Q3,13500000.0,11
Biotechnology,2005-Q1,10000000.0,94
Biotechnology,2005-Q2,4206255.0,76
Biotechnology,2005-Q3,8990000.0,105
Biotechnology,2005-Q4,9540000.0,84
Biotechnology,2006-Q1,11800000.0,129
Biotechnology,2006-Q2,20000000.0,120
Biotechnology,2006-Q3,13960000.0,123
Biotechnology,2006-Q4,16000000.0,134
Biotechnology,2007-Q1,22600000.0,147
Biotechnology,2007-Q2,15000000.0,177
Biotechnology,2007-Q3,8800000.0,117
Biotechnology,2007-Q4,12000000.0,180
Biotechnology,2008-Q1,10637130.0,137
Biotechnology,2008-Q2,7283500.0,102
Biotechnology,2008-Q3,18500000.0,89
Biotechnology,2008-Q4,15000000.0,73
Biotechnology,2009-Q1,8300000.0,167
Biotechnology,2009-Q2,13000000.0,176
Biotechnology,2009-Q3,15200000.0,174
Biotechnology,2009-Q4,15000000.0,323
Biotechnology,2010-Q1,8400000.0,290
Biotechnology,2010-Q2,15000000.0,265
Biotechnology,2010-Q3,10000000.0,281
Biotechnology,2010-Q4,18000000.0,178
Biotechnology,2011-Q1,11319064.0,203
Biotechnology,2011-Q2,18300000.0,213
Biotechnology,2011-Q3,13100000.0,205
Biotechnology,2011-Q4,10000000.0,169
Biotechnology,2012-Q1,10308000.0,296
Biotechnology,2012-Q2,10000000.0,196
Biotechnology,2012-Q3,15707000.0,204
Biotechnology,2012-Q4,16000000.0,229
Biotechnology,2013-Q1,10000000.0,161
Biotechnology,2013-Q2,15000000.0,301
Biotechnology,2013-Q3,15439200.0,271
Biotechnology,2013-Q4,12500000.0,337
Clean Technology,2004-Q1,1100000.0,1
Clean Technology,2004-Q4,2000000.0,3
Clean Technology,2005-Q1,6400000.0,1
Clean Technology,2005-Q2,9300000.0,10
Clean Technology,2005-Q3,12000000.0,14
Clean Technology,2005-Q4,17617500.0,26
Clean Technology,2006-Q1,3200000.0,6
Clean Technology,2006-Q2,52500000.0,24
Clean Technology,2006-Q3,34700000.0,11
Clean Technology,2006-Q4,30000000.0,27
Clean Technology,2007-Q1,14500000.0,19
Clean Technology,2007-Q2,10000000.0,26
Clean Technology,2007-Q3,14000000.0,49
Clean Technology,2007-Q4,23100000.0,70
Clean Technology,2008-Q1,15000000.0,116
Clean Technology,2008-Q2,13900000.0,174
Clean Technology,2008-Q3,19000000.0,137
Clean Technology,2008-Q4,13000000.0,131
Clean Technology,2009-Q1,10000000.0,45
Clean Technology,2009-Q2,10680000.0,52
Clean Technology,2009-Q3,12000000.0,66
Clean Technology,2009-Q4,12100000.0,64
Clean Technology,2010-Q1,12000000.0,89
Clean Technology,2010-Q2,19800000.0,63
Clean Technology,2010-Q3,13850000.0,72
Clean Technology,2010-Q4,12250000.0,68
Clean Technology,2011-Q1,17000000.0,75
Clean Technology,2011-Q2,20000000.0,82
