date,market,startup,funding,,,,
2004-01,All,103,10000000,,,,
2004-04,All,76,7000000,,,,
2004-07,All,76,11000000,,,,
2004-10,All,70,8200000,,,,
2005-01,All,669,8000000,,,,
2005-04,All,593,7500000,,,,
2005-07,All,614,7710000,,,,
2005-10,All,608,9000000,,,,
2006-01,All,864,7500000,,,,
2006-04,All,747,8000000,,,,
2006-07,All,760,8000000,,,,
2006-10,All,739,8000000,,,,
2007-01,All,884,6550000,,,,
2007-04,All,905,8100000,,,,
2007-07,All,942,10000000,,,,
2007-10,All,882,10000000,,,,
2008-01,All,991,7650000,,,,
2008-04,All,1027,8000000,,,,
2008-07,All,820,10367350,,,,
2008-10,All,726,7660000,,,,
2009-01,All,766,6945000,,,,
2009-04,All,700,6780000,,,,
2009-07,All,669,8300000,,,,
2009-10,All,1030,7000000,,,,
2010-01,All,1033,5400000,,,,
2010-04,All,1120,8080000,,,,
2010-07,All,1118,6000000,,,,
2010-10,All,972,6500000,,,,
2011-01,All,1129,6090909,,,,
2011-04,All,1226,7000000,,,,
2011-07,All,1263,7342309,,,,
2011-10,All,1133,6000000,,,,
2012-01,All,1503,5000000,,,,
2012-04,All,1428,5000000,,,,
2012-07,All,1343,5000000,,,,
2012-10,All,1438,4000000,,,,
2013-01,All,1525,3000000,,,,
2013-04,All,1739,4300000,,,,
2013-07,All,1826,3601240,,,,
2013-10,All,1960,5500000,,,,
2004-01,E-Commerce,9,42000000,,,,
2004-04,E-Commerce,0,0,,,,
2004-07,E-Commerce,2,4500000,,,,
2004-10,E-Commerce,0,0,,,,
2005-01,E-Commerce,9,6300000,,,,
2005-04,E-Commerce,9,45000000,,,,
2005-07,E-Commerce,4,25000000,,,,
2005-10,E-Commerce,4,2500000,,,,
2006-01,E-Commerce,3,6000000,,,,
2006-04,E-Commerce,9,4000000,,,,
2006-07,E-Commerce,18,11000000,,,,
2006-10,E-Commerce,23,4000000,,,,
2007-01,E-Commerce,17,4000000,,,,
2007-04,E-Commerce,33,11000000,,,,
2007-07,E-Commerce,18,10000000,,,,
2007-10,E-Commerce,14,5000000,,,,
2008-01,E-Commerce,36,6250000,,,,
2008-04,E-Commerce,41,10000000,,,,
2008-07,E-Commerce,16,5800000,,,,
2008-10,E-Commerce,28,4500000,,,,
2009-01,E-Commerce,24,6000000,,,,
2009-04,E-Commerce,33,5000000,,,,
2009-07,E-Commerce,19,2200280,,,,
2009-10,E-Commerce,29,10000000,,,,
2010-01,E-Commerce,50,5726034,,,,
2010-04,E-Commerce,57,6050000,,,,
2010-07,E-Commerce,64,4500000,,,,
2010-10,E-Commerce,74,10000000,,,,
2011-01,E-Commerce,84,5750000,,,,
2011-04,E-Commerce,94,2000000,,,,
2011-07,E-Commerce,89,8000000,,,,
2011-10,E-Commerce,89,2100000,,,,
2012-01,E-Commerce,127,2750000,,,,
2012-04,E-Commerce,125,6200000,,,,
2012-07,E-Commerce,142,1100000,,,,
2012-10,E-Commerce,134,2000000,,,,
2013-01,E-Commerce,169,1600853,,,,
2013-04,E-Commerce,261,3400000,,,,
2013-07,E-Commerce,176,1650000,,,,
2013-10,E-Commerce,218,3000000,,,,
2004-01,Biotechnology,14,38000000,,,,
2004-04,Biotechnology,8,2327975,,,,
2004-07,Biotechnology,11,13500000,,,,
2004-10,Biotechnology,0,0,,,,
2005-01,Biotechnology,94,10000000,,,,
2005-04,Biotechnology,76,4206255,,,,
2005-07,Biotechnology,105,8990000,,,,
2005-10,Biotechnology,84,9540000,,,,
