company_name,company_country_code,company_city,company_market,investor_name,investor_country_code,investor_city,funded_at,funded_month,funded_year,raised_amount_usd,company_name_lower,unicorn_flag
Vice Media,USA,Brooklyn,Video Streaming,21st Century Fox,USA,New York,08/01/2013 00:00,2013-08,2013,70000000,vicemedia,TRUE
Symphony,USA,Palo Alto,None,500 Startups,USA,Mountain View,01/17/2011 00:00,2011-01,2011,100000,symphony,TRUE
Twilio,USA,San Francisco,Enterprise Software,500 Startups,USA,Mountain View,11/09/2010 00:00,2010-11,2010,12000000,twilio,TRUE
Credit Karma,USA,San Francisco,Finance,500 Startups,USA,Mountain View,04/02/2013 00:00,2013-04,2013,30000000,creditkarma,TRUE
Fab,USA,New York,Design,A-Grade Investments,USA,Los Angeles,08/11/2011 00:00,2011-08,2011,7700000,fab,TRUE
AirWatch,USA,Atlanta,Mobile,Accel Partners,USA,Palo Alto,05/16/2013 00:00,2013-05,2013,25000000,airwatch,TRUE
Funding Circle,GBR,London,Financial Services,Accel Partners,USA,Palo Alto,10/23/2013 00:00,2013-10,2013,37000000,fundingcircle,TRUE
Spotify,SWE,Stockholm,Entertainment,Accel Partners,USA,Palo Alto,06/17/2011 00:00,2011-06,2011,100000000,spotify,TRUE
Atlassian,AUS,Sydney,Enterprise Software,Accel Partners,USA,Palo Alto,07/14/2010 00:00,2010-07,2010,60000000,atlassian,TRUE
Slack,USA,San Francisco,Enterprise Software,Accel Partners,USA,Palo Alto,04/01/2010 00:00,2010-04,2010,5000000,slack,TRUE
Cloudera,USA,Palo Alto,Enterprise Software,Accel Partners,USA,Palo Alto,12/07/2012 00:00,2012-12,2012,65000000,cloudera,TRUE
SimpliVity,USA,Westborough,Storage,Accel Partners,USA,Palo Alto,01/01/2012 00:00,2012-01,2012,18000000,simplivity,TRUE
SimpliVity,USA,Westborough,Storage,Accel Partners,USA,Palo Alto,09/24/2012 00:00,2012-09,2012,25000000,simplivity,TRUE
Legendary Entertainment,USA,Burbank,Games,Accel Partners,USA,Palo Alto,04/04/2012 00:00,2012-04,2012,275000000,legendaryentertainment,TRUE
Lookout,USA,San Francisco,Security,Accel Partners,USA,Palo Alto,09/21/2011 00:00,2011-09,2011,40000000,lookout,TRUE
Vox Media,USA,Washington,Sports,Accel Partners,USA,Palo Alto,01/15/2009 00:00,2009-01,2009,5000000,voxmedia,TRUE
Slack,USA,San Francisco,Enterprise Software,Accel Partners,USA,Palo Alto,01/01/2009 00:00,2009-01,2009,1500000,slack,TRUE
Groupon,USA,Chicago,Advertising,Accel Partners,USA,Palo Alto,12/01/2009 00:00,2009-12,2009,30000000,groupon,TRUE
Dropbox,USA,San Francisco,Storage,Accel Partners,USA,Palo Alto,11/24/2009 00:00,2009-11,2009,6000000,dropbox,TRUE
SimpliVity,USA,Westborough,Storage,Accel Partners,USA,Palo Alto,11/18/2013 00:00,2013-11,2013,58000000,simplivity,TRUE
Hootsuite,CAN,Vancouver,Software,Accel Partners,USA,Palo Alto,08/01/2013 00:00,2013-08,2013,165000000,hootsuite,TRUE
Lookout,USA,San Francisco,Security,Accel Partners,USA,Palo Alto,10/10/2013 00:00,2013-10,2013,55000000,lookout,TRUE
Vox Media,USA,Washington,Sports,Accel Partners,USA,Palo Alto,10/15/2013 00:00,2013-10,2013,34000000,voxmedia,TRUE
Vox Media,USA,Washington,Sports,Accel Partners,USA,Palo Alto,11/08/2010 00:00,2010-11,2010,10500000,voxmedia,TRUE
Cloudera,USA,Palo Alto,Enterprise Software,Accel Partners,USA,Palo Alto,10/26/2010 00:00,2010-10,2010,25000000,cloudera,TRUE
Cloudera,USA,Palo Alto,Enterprise Software,Accel Partners,USA,Palo Alto,11/07/2011 00:00,2011-11,2011,40000000,cloudera,TRUE
Sunrun,USA,San Francisco,Solar,Accel Partners,USA,Palo Alto,06/29/2010 00:00,2010-06,2010,55000000,sunrun,TRUE
Flipkart,IND,Bangalore,Online Shopping,Accel Partners,USA,Palo Alto,08/24/2012 00:00,2012-08,2012,150000000,flipkart,TRUE
Groupon,USA,Chicago,Advertising,Accel Partners,USA,Palo Alto,04/18/2010 00:00,2010-04,2010,135000000,groupon,TRUE
Cloudera,USA,Palo Alto,Enterprise Software,Accel Partners,USA,Palo Alto,06/02/2009 00:00,2009-06,2009,6000000,cloudera,TRUE
Flipkart,IND,Bangalore,Online Shopping,Accel Partners,USA,Palo Alto,07/10/2013 00:00,2013-07,2013,200000000,flipkart,TRUE
Sunrun,USA,San Francisco,Solar,Accel Partners,USA,Palo Alto,07/28/2009 00:00,2009-07,2009,18000000,sunrun,TRUE
Dropbox,USA,San Francisco,Storage,Accel Partners,USA,Palo Alto,10/18/2011 00:00,2011-10,2011,250000000,dropbox,TRUE
ForeScout Technologies,USA,Campbell,Security,Accel Partners,USA,Palo Alto,10/20/2005 00:00,2005-10,2005,10000000,forescouttechnologies,TRUE
ForeScout Technologies,USA,Campbell,Security,Accel Partners,USA,Palo Alto,11/19/2007 00:00,2007-11,2007,4380000,forescouttechnologies,TRUE
Sunrun,USA,San Francisco,Solar,Accel Partners,USA,Palo Alto,05/23/2012 00:00,2012-05,2012,60000000,sunrun,TRUE
Slack,USA,San Francisco,Enterprise Software,Accel Partners,USA,Palo Alto,04/01/2011 00:00,2011-04,2011,10700000,slack,TRUE
Cloudera,USA,Palo Alto,Enterprise Software,Accel Partners,USA,Palo Alto,03/16/2009 00:00,2009-03,2009,5000000,cloudera,TRUE
Vox Media,USA,Washington,Sports,Accel Partners,USA,Palo Alto,07/16/2009 00:00,2009-07,2009,8000000,voxmedia,TRUE
Prosper,USA,San Francisco,Personal Finance,Accel Partners,USA,Palo Alto,02/01/2006 00:00,2006-02,2006,12500000,prosper,TRUE
Prosper,USA,San Francisco,Personal Finance,Accel Partners,USA,Palo Alto,04/01/2005 00:00,2005-04,2005,7500000,prosper,TRUE
Facebook,USA,Menlo Park,Communities,Accel Partners,USA,Palo Alto,05/01/2005 00:00,2005-05,2005,12700000,facebook,TRUE
DocuSign,USA,San Francisco,Software,Accel Partners,USA,Palo Alto,07/12/2012 00:00,2012-07,2012,55700000,docusign,TRUE
lynda.com,USA,Carpinteria,Education,Accel Partners,USA,Palo Alto,01/16/2013 00:00,2013-01,2013,103000000,lynda.com,TRUE
Prosper,USA,San Francisco,Personal Finance,Accel Partners,USA,Palo Alto,01/22/2013 00:00,2013-01,2013,20000000,prosper,TRUE
Qualtrics,USA,Provo,Software,Accel Partners,USA,Palo Alto,05/15/2012 00:00,2012-05,2012,70000000,qualtrics,TRUE
Prosper,USA,San Francisco,Personal Finance,Accel Partners,USA,Palo Alto,02/03/2010 00:00,2010-02,2010,2000000,prosper,TRUE
Lookout,USA,San Francisco,Security,Accel Partners,USA,Palo Alto,12/23/2010 00:00,2010-12,2010,19500000,lookout,TRUE
Lookout,USA,San Francisco,Security,Accel Partners,USA,Palo Alto,05/18/2010 00:00,2010-05,2010,11000000,lookout,TRUE
