date,startup,funding,25startups,25funding,startup_ecommerce,funding_ecommerce
2004-01,#VALUE!,11764509,48,10971665,4,42000000
2004-02,#VALUE!,26740000,13,32146154,4,82000000
2004-03,#VALUE!,16601251,42,18854962,1,3000000
2004-04,#VALUE!,7085458,23,10526604,0,0
2004-05,#VALUE!,7618425,27,7188351,0,0
2004-06,#VALUE!,21511882,26,28608232,0,0
2004-07,#VALUE!,11709850,44,12920904,0,0
2004-08,#VALUE!,6248145,9,7704867,0,0
2004-09,#VALUE!,11600978,23,12902835,2,4500000
2004-10,#VALUE!,9218108,20,8580000,0,0
2004-11,#VALUE!,20101678,23,22560811,0,0
2004-12,#VALUE!,10291051,27,10004973,0,0
2005-01,#VALUE!,8663365,287,8770423,3,6300000
2005-02,#VALUE!,21014454,169,24944237,4,7000000
2005-03,#VALUE!,11888698,213,10964483,2,5500000
2005-04,#VALUE!,10048157,221,9465269,0,0
2005-05,#VALUE!,12860865,204,10483377,3,2050000
2005-06,#VALUE!,11185065,168,8616283,6,45000000
2005-07,#VALUE!,9733793,155,7355030,0,0
2005-08,#VALUE!,14767689,227,16563413,2,501000000
2005-09,#VALUE!,11969402,232,13372650,2,25000000
2005-10,#VALUE!,12626044,216,14053172,1,25000000
2005-11,#VALUE!,13528885,165,10298177,3,2500000
2005-12,#VALUE!,16031642,227,12566507,0,0
2006-01,#VALUE!,11340517,400,11438156,0,0
2006-02,#VALUE!,9736580,214,8641490,2,6000000
2006-03,#VALUE!,10001795,250,9470164,1,15000000
2006-04,#VALUE!,15839498,244,17500533,1,2000000
2006-05,#VALUE!,14164198,229,11633426,7,4000000
2006-06,#VALUE!,15406037,274,15104362,1,100000
2006-07,#VALUE!,11129182,235,10296531,7,3000000
2006-08,#VALUE!,11693271,209,10901947,0,0
2006-09,#VALUE!,14266641,316,16210910,11,11000000
2006-10,#VALUE!,12614628,276,12185003,7,4000000
2006-11,#VALUE!,14386209,281,14139812,9,4000000
2006-12,#VALUE!,11085016,182,8908531,7,5000000
2007-01,#VALUE!,14195230,380,15145871,10,4000000
2007-02,#VALUE!,14673024,216,11100413,1,6000000
2007-03,#VALUE!,15918847,288,15453650,6,12000000
2007-04,#VALUE!,12841417,257,13045071,5,18000000
2007-05,#VALUE!,11109174,340,9833657,16,11000000
2007-06,#VALUE!,13575618,308,14616568,12,3000000
