date	market	startup	funding
2004-01	All	94	11000000
2004-04	All	83	7000000
2004-07	All	79	10400000
2004-10	All	80	10000000
2005-01	All	798	8500000
2005-04	All	739	8400000
2005-07	All	719	8000000
2005-10	All	741	10000000
2006-01	All	984	8000000
2006-04	All	904	10000000
2006-07	All	914	8000000
2006-10	All	852	9000000
2007-01	All	1069	8000000
2007-04	All	967	9000000
2007-07	All	1088	11350000
2007-10	All	876	10000000
2008-01	All	1062	8800000
2008-04	All	1085	8750000
2008-07	All	808	10000000
2008-10	All	810	8270000
2009-01	All	825	7000000
2009-04	All	833	8740000
2009-07	All	762	8700000
2009-10	All	1127	8000000
2010-01	All	1116	6438857
2010-04	All	1184	8900000
2010-07	All	1161	6000000
2010-10	All	929	7503751
2011-01	All	1162	7192630
2011-04	All	1218	7500000
2011-07	All	1211	8500000
2011-10	All	1086	5500000
2012-01	All	1428	5100000
2012-04	All	1418	6000000
2012-07	All	1287	5000000
2012-10	All	1348	4977000
2013-01	All	1425	3600000
2013-04	All	1685	5000000
2013-07	All	1683	3636603
2013-10	All	1874	5450000
2004-01	E-Commerce	9	42000000
2004-04	E-Commerce	0	0
2004-07	E-Commerce	2	4500000
2004-10	E-Commerce	0	0
2005-01	E-Commerce	9	6300000
2005-04	E-Commerce	9	45000000
2005-07	E-Commerce	4	25000000
2005-10	E-Commerce	4	2500000
2006-01	E-Commerce	3	6000000
2006-04	E-Commerce	9	4000000
2006-07	E-Commerce	18	11000000
2006-10	E-Commerce	23	4000000
2007-01	E-Commerce	17	4000000
2007-04	E-Commerce	33	11000000
2007-07	E-Commerce	18	10000000
2007-10	E-Commerce	14	5000000
2008-01	E-Commerce	36	6250000
2008-04	E-Commerce	41	10000000
2008-07	E-Commerce	16	5800000
2008-10	E-Commerce	28	4500000
2009-01	E-Commerce	24	6000000
2009-04	E-Commerce	33	5000000
2009-07	E-Commerce	19	2200280
2009-10	E-Commerce	29	10000000
2010-01	E-Commerce	50	5726034
2010-04	E-Commerce	57	6050000
2010-07	E-Commerce	64	4500000
2010-10	E-Commerce	74	10000000
2011-01	E-Commerce	84	5750000
2011-04	E-Commerce	94	2000000
2011-07	E-Commerce	89	8000000
2011-10	E-Commerce	89	2100000
2012-01	E-Commerce	127	2750000
2012-04	E-Commerce	125	6200000
2012-07	E-Commerce	142	1100000
2012-10	E-Commerce	134	2000000
2013-01	E-Commerce	169	1600853
2013-04	E-Commerce	261	3400000
2013-07	E-Commerce	176	1650000
2013-10	E-Commerce	218	3000000
2004-01	Biotechnology	14	38000000
2004-04	Biotechnology	8	2327975
2004-07	Biotechnology	11	13500000
2004-10	Biotechnology	0	0
2005-01	Biotechnology	94	10000000
2005-04	Biotechnology	76	4206255
2005-07	Biotechnology	105	8990000
2005-10	Biotechnology	84	9540000
2006-01	Biotechnology	129	11800000
2006-04	Biotechnology	120	20000000
2006-07	Biotechnology	123	13960000
2006-10	Biotechnology	134	16000000
2007-01	Biotechnology	147	22600000
2007-04	Biotechnology	177	15000000
2007-07	Biotechnology	117	8800000
2007-10	Biotechnology	180	12000000
2008-01	Biotechnology	137	10637130
2008-04	Biotechnology	102	7283500
2008-07	Biotechnology	89	18500000
2008-10	Biotechnology	73	15000000
2009-01	Biotechnology	167	8300000
2009-04	Biotechnology	176	13000000
2009-07	Biotechnology	174	15200000
2009-10	Biotechnology	323	15000000
2010-01	Biotechnology	290	8400000
2010-04	Biotechnology	265	15000000
2010-07	Biotechnology	281	10000000
2010-10	Biotechnology	178	18000000
2011-01	Biotechnology	203	11319064
2011-04	Biotechnology	213	18300000
2011-07	Biotechnology	205	13100000
2011-10	Biotechnology	169	10000000
2012-01	Biotechnology	296	10308000
2012-04	Biotechnology	196	10000000
2012-07	Biotechnology	204	15707000
2012-10	Biotechnology	229	16000000
2013-01	Biotechnology	161	10000000
2013-04	Biotechnology	301	15000000
2013-07	Biotechnology	271	15439200
2013-10	Biotechnology	337	12500000
2004-01	Software	15	10000000
2004-04	Software	17	7000000
2004-07	Software	18	20000000
2004-10	Software	16	5000000
2005-01	Software	233	7000000
2005-04	Software	270	7000000
2005-07	Software	206	6000000
2005-10	Software	190	8000000
2006-01	Software	258	6450000
2006-04	Software	227	6500000
2006-07	Software	227	6000000
2006-10	Software	213	7000000
2007-01	Software	219	5000000
2007-04	Software	240	7380000
2007-07	Software	307	11600000
2007-10	Software	154	8000000
2008-01	Software	160	5250000
2008-04	Software	185	6964343
2008-07	Software	168	7000000
2008-10	Software	123	6000000
2009-01	Software	175	6000000
2009-04	Software	111	6000000
2009-07	Software	90	5290000
2009-10	Software	141	3600000
2010-01	Software	126	4000000
2010-04	Software	176	6000000
2010-07	Software	152	3750000
2010-10	Software	122	4225000
2011-01	Software	137	3800000
2011-04	Software	160	6250000
2011-07	Software	135	8270000
2011-10	Software	154	5330000
2012-01	Software	176	3000000
2012-04	Software	183	4000000
2012-07	Software	178	4500000
2012-10	Software	229	4000000
2013-01	Software	226	1878026
2013-04	Software	164	2000000
2013-07	Software	276	2500000
2013-10	Software	292	3000000
2004-01	Clean Technology	1	1100000
2004-04	Clean Technology	0	0
2004-07	Clean Technology	0	0
2004-10	Clean Technology	3	2000000
2005-01	Clean Technology	1	6400000
2005-04	Clean Technology	10	9300000
2005-07	Clean Technology	14	12000000
2005-10	Clean Technology	26	17617500
2006-01	Clean Technology	6	3200000
2006-04	Clean Technology	24	52500000
2006-07	Clean Technology	11	34700000
2006-10	Clean Technology	27	30000000
2007-01	Clean Technology	19	14500000
2007-04	Clean Technology	26	10000000
2007-07	Clean Technology	49	14000000
2007-10	Clean Technology	70	23100000
2008-01	Clean Technology	116	15000000
2008-04	Clean Technology	174	13900000
2008-07	Clean Technology	137	19000000
2008-10	Clean Technology	131	13000000
2009-01	Clean Technology	45	10000000
2009-04	Clean Technology	52	10680000
2009-07	Clean Technology	66	12000000
2009-10	Clean Technology	64	12100000
2010-01	Clean Technology	89	12000000
2010-04	Clean Technology	63	19800000
2010-07	Clean Technology	72	13850000
2010-10	Clean Technology	68	12250000
2011-01	Clean Technology	75	17000000
2011-04	Clean Technology	82	20000000
2011-07	Clean Technology	99	15000000
2011-10	Clean Technology	82	20000000
2012-01	Clean Technology	106	12500000
2012-04	Clean Technology	87	10100000
2012-07	Clean Technology	49	7000000
2012-10	Clean Technology	48	5268266
2013-01	Clean Technology	80	4283730
2013-04	Clean Technology	56	8481450
2013-07	Clean Technology	81	10000000
2013-10	Clean Technology	88	8000000
2004-01	Health Care	0	0
2004-04	Health Care	8	33000000
2004-07	Health Care	3	12000000
2004-10	Health Care	3	11000000
2005-01	Health Care	20	31500000
2005-04	Health Care	18	10000000
2005-07	Health Care	11	6230000
2005-10	Health Care	29	15000000
2006-01	Health Care	28	6500000
2006-04	Health Care	36	10140000
2006-07	Health Care	49	12960000
2006-10	Health Care	67	19000000
2007-01	Health Care	50	15000000
2007-04	Health Care	33	10700000
2007-07	Health Care	38	30000000
2007-10	Health Care	31	25000000
2008-01	Health Care	82	15000000
2008-04	Health Care	44	20300000
2008-07	Health Care	24	18000000
2008-10	Health Care	34	12000000
2009-01	Health Care	56	7000000
2009-04	Health Care	101	25000000
2009-07	Health Care	43	10000000
2009-10	Health Care	114	20000000
2010-01	Health Care	65	16500000
2010-04	Health Care	79	15000000
2010-07	Health Care	84	15000000
2010-10	Health Care	70	15000000
2011-01	Health Care	93	20000000
2011-04	Health Care	83	15000000
2011-07	Health Care	85	23000000
2011-10	Health Care	85	12509719
2012-01	Health Care	106	10890114
2012-04	Health Care	130	10000000
2012-07	Health Care	99	12000000
2012-10	Health Care	68	10000000
2013-01	Health Care	114	18905707
2013-04	Health Care	64	11624721.5
2013-07	Health Care	65	10000000
2013-10	Health Care	96	8453472.5
2004-01	Mobile	25	13500000
2004-04	Mobile	5	14000000
2004-07	Mobile	3	1221900
2004-10	Mobile	7	2644091
2005-01	Mobile	48	10000000
2005-04	Mobile	40	10000000
2005-07	Mobile	53	10500000
2005-10	Mobile	52	9620000
2006-01	Mobile	87	10000000
2006-04	Mobile	79	10500000
2006-07	Mobile	82	8500000
2006-10	Mobile	70	8500000
2007-01	Mobile	86	12000000
2007-04	Mobile	55	5500000
2007-07	Mobile	87	12000000
2007-10	Mobile	47	11000000
2008-01	Mobile	84	7100000
2008-04	Mobile	91	12000000
2008-07	Mobile	52	6000000
2008-10	Mobile	89	14500000
2009-01	Mobile	36	8000000
2009-04	Mobile	42	5450000
2009-07	Mobile	25	8590000
2009-10	Mobile	52	7000000
2010-01	Mobile	84	4145600
2010-04	Mobile	83	8707727
2010-07	Mobile	85	3500000
2010-10	Mobile	82	3000000
2011-01	Mobile	134	6907310
2011-04	Mobile	80	5000000
2011-07	Mobile	101	1500000
2011-10	Mobile	93	1700000
2012-01	Mobile	145	1800000
2012-04	Mobile	136	2800000
2012-07	Mobile	137	2700000
2012-10	Mobile	141	1300000
2013-01	Mobile	179	1200000
2013-04	Mobile	148	2000000
2013-07	Mobile	106	1600000
2013-10	Mobile	194	3100000
2004-01	Semiconductors	3	3520000
2004-04	Semiconductors	12	2007340
2004-07	Semiconductors	4	7231399.5
2004-10	Semiconductors	14	16500000
2005-01	Semiconductors	66	9270000
2005-04	Semiconductors	79	13500000
2005-07	Semiconductors	75	13000000
2005-10	Semiconductors	86	12000000
2006-01	Semiconductors	100	10650000
2006-04	Semiconductors	100	14750000
2006-07	Semiconductors	100	10000000
2006-10	Semiconductors	73	15000000
2007-01	Semiconductors	163	14200000
2007-04	Semiconductors	69	16000000
2007-07	Semiconductors	95	19500000
2007-10	Semiconductors	36	14999999
2008-01	Semiconductors	66	17000000
2008-04	Semiconductors	47	12500000
2008-07	Semiconductors	35	13000000
2008-10	Semiconductors	59	14000000
2009-01	Semiconductors	55	10000000
2009-04	Semiconductors	51	20000000
2009-07	Semiconductors	48	16000000
2009-10	Semiconductors	53	8000000
2010-01	Semiconductors	46	8195300
2010-04	Semiconductors	59	7500000
2010-07	Semiconductors	36	8205201.5
2010-10	Semiconductors	26	11000000
2011-01	Semiconductors	29	45000000
2011-04	Semiconductors	43	15000000
2011-07	Semiconductors	27	13000000
2011-10	Semiconductors	28	12331613.5
2012-01	Semiconductors	27	11500000
2012-04	Semiconductors	42	10000000
2012-07	Semiconductors	50	11811000
2012-10	Semiconductors	27	28000000
2013-01	Semiconductors	17	12000000
2013-04	Semiconductors	30	19000000
2013-07	Semiconductors	30	16000000
2013-10	Semiconductors	28	11000000
2004-01	Enterprise Software	3	6000000
2004-04	Enterprise Software	8	10000000
2004-07	Enterprise Software	10	6850000
2004-10	Enterprise Software	2	8600000
2005-01	Enterprise Software	91	10000000
2005-04	Enterprise Software	47	8670000
2005-07	Enterprise Software	53	6600000
2005-10	Enterprise Software	26	5500000
2006-01	Enterprise Software	70	7700000
2006-04	Enterprise Software	81	10100000
2006-07	Enterprise Software	64	5970000
2006-10	Enterprise Software	39	6300000
2007-01	Enterprise Software	52	9000000
2007-04	Enterprise Software	62	7000000
2007-07	Enterprise Software	61	10000000
2007-10	Enterprise Software	64	8550000
2008-01	Enterprise Software	60	8000000
2008-04	Enterprise Software	69	10600000
2008-07	Enterprise Software	37	10680000
2008-10	Enterprise Software	52	3375000
2009-01	Enterprise Software	66	7000000
2009-04	Enterprise Software	50	4500000
2009-07	Enterprise Software	61	7500000
2009-10	Enterprise Software	94	5000000
2010-01	Enterprise Software	80	5000000
2010-04	Enterprise Software	64	8000000
2010-07	Enterprise Software	86	5350000
2010-10	Enterprise Software	110	7000000
2011-01	Enterprise Software	99	7000000
2011-04	Enterprise Software	84	11000000
2011-07	Enterprise Software	122	7000000
2011-10	Enterprise Software	92	4500000
2012-01	Enterprise Software	109	7000000
2012-04	Enterprise Software	114	8000000
2012-07	Enterprise Software	82	5000000
2012-10	Enterprise Software	112	5500000
2013-01	Enterprise Software	121	5041927
2013-04	Enterprise Software	177	4200000
2013-07	Enterprise Software	157	10000000
2013-10	Enterprise Software	110	9400000
2004-01	Advertising	1	250000
2004-04	Advertising	4	3000000
2004-07	Advertising	2	6250000
2004-10	Advertising	5	6000000
2005-01	Advertising	26	6000000
2005-04	Advertising	12	9000000
2005-07	Advertising	10	5000000
2005-10	Advertising	7	5000000
2006-01	Advertising	40	7500000
2006-04	Advertising	28	7300000
2006-07	Advertising	40	6000000
2006-10	Advertising	25	5000000
2007-01	Advertising	72	4581196.5
2007-04	Advertising	53	7000000
2007-07	Advertising	58	10000000
2007-10	Advertising	71	9000000
2008-01	Advertising	80	8365000
2008-04	Advertising	61	6000000
2008-07	Advertising	52	7500000
2008-10	Advertising	39	5000000
2009-01	Advertising	69	7500000
2009-04	Advertising	46	10000000
2009-07	Advertising	43	5000000
2009-10	Advertising	60	4750000
2010-01	Advertising	51	7250000
2010-04	Advertising	93	7000000
2010-07	Advertising	68	6000000
2010-10	Advertising	46	5600000
2011-01	Advertising	87	9000000
2011-04	Advertising	83	4000000
2011-07	Advertising	65	4000000
2011-10	Advertising	82	4300000
2012-01	Advertising	81	9000000
2012-04	Advertising	96	7500000
2012-07	Advertising	94	5000000
2012-10	Advertising	69	2000000
2013-01	Advertising	100	5000000
2013-04	Advertising	96	4369000
2013-07	Advertising	84	2250000
2013-10	Advertising	62	5000000
2004-01	Hardware + Software	10	25750000
2004-04	Hardware + Software	0	0
2004-07	Hardware + Software	0	0
2004-10	Hardware + Software	3	10500000
2005-01	Hardware + Software	48	6600000
2005-04	Hardware + Software	37	7000000
2005-07	Hardware + Software	71	8000000
2005-10	Hardware + Software	60	11309602
2006-01	Hardware + Software	69	6480000
2006-04	Hardware + Software	34	9000000
2006-07	Hardware + Software	44	9500000
2006-10	Hardware + Software	55	8880000
2007-01	Hardware + Software	70	5837089
2007-04	Hardware + Software	42	13000000
2007-07	Hardware + Software	46	13360000
2007-10	Hardware + Software	67	10730000
2008-01	Hardware + Software	51	3150000
2008-04	Hardware + Software	41	7720000
2008-07	Hardware + Software	50	16750000
2008-10	Hardware + Software	42	6250000
2009-01	Hardware + Software	32	8000000
2009-04	Hardware + Software	43	4000000
2009-07	Hardware + Software	51	17300000
2009-10	Hardware + Software	43	8000000
2010-01	Hardware + Software	68	4920000
2010-04	Hardware + Software	40	3250000
2010-07	Hardware + Software	43	1729681
2010-10	Hardware + Software	19	6000000
2011-01	Hardware + Software	23	10000000
2011-04	Hardware + Software	39	13000000
2011-07	Hardware + Software	44	13298800
2011-10	Hardware + Software	21	6100000
2012-01	Hardware + Software	41	5000000
2012-04	Hardware + Software	37	2906886
2012-07	Hardware + Software	35	1500000
2012-10	Hardware + Software	43	6500000
2013-01	Hardware + Software	28	3372940.5
2013-04	Hardware + Software	84	2000000
2013-07	Hardware + Software	84	3700000
2013-10	Hardware + Software	102	5000000
2004-01	Web Hosting	0	0
2004-04	Web Hosting	1	2000000
2004-07	Web Hosting	0	0
2004-10	Web Hosting	0	0
